NumeActiune,Timestamp
Creare student,2022-05-04T15:43:06.898177500
NumeActiune,Timestamp
Creare student,2022-05-04T15:43:06.905465400
NumeActiune,Timestamp
Creare student,2022-05-04T15:43:06.906461500
NumeActiune,Timestamp
Creare student,2022-05-04T15:43:06.907459400
NumeActiune,Timestamp
Creare profesor,2022-05-04T15:43:06.916059500
NumeActiune,Timestamp
Creare profesor,2022-05-04T15:43:06.918273200
NumeActiune,Timestamp
Creare profesor,2022-05-04T15:43:06.919270600
NumeActiune,Timestamp
Creare profesor,2022-05-04T15:43:06.920268
NumeActiune,Timestamp
Creare student,2022-05-04T16:22:57.044106500
NumeActiune,Timestamp
Creare student,2022-05-04T16:22:57.051879300
NumeActiune,Timestamp
Creare student,2022-05-04T16:22:57.052506500
NumeActiune,Timestamp
Creare student,2022-05-04T16:22:57.087416600
NumeActiune,Timestamp
Creare profesor,2022-05-04T16:22:57.088416100
NumeActiune,Timestamp
Creare profesor,2022-05-04T16:22:57.090019400
NumeActiune,Timestamp
Creare profesor,2022-05-04T16:22:57.090019400
NumeActiune,Timestamp
Creare profesor,2022-05-04T16:22:57.091059700
Creare catalog,2022-05-22T14:40:27.655050200
Creare catalog,2022-05-22T14:40:27.660063800
Creare student,2022-05-22T14:40:27.668043500
Creare student,2022-05-22T14:40:27.672031600
Creare student,2022-05-22T14:40:27.673027200
Creare student,2022-05-22T14:40:27.674026200
Creare materie,2022-05-22T14:40:27.674347300
Creare materie,2022-05-22T14:40:27.675023100
Creare materie,2022-05-22T14:40:27.675023100
Creare materie,2022-05-22T14:40:27.676091400
Creare profesor,2022-05-22T14:40:27.676091400
Creare profesor,2022-05-22T14:40:27.678014
Creare profesor,2022-05-22T14:40:27.679065
Creare profesor,2022-05-22T14:40:27.679065
Adaugare student in catalog,2022-05-22T14:40:27.680009200
Adaugare student in catalog,2022-05-22T14:40:27.680009200
Adaugare student in catalog,2022-05-22T14:40:27.681006700
Adaugare student in catalog,2022-05-22T14:40:27.682003400
Adaugare materie in catalog,2022-05-22T14:40:27.683998700
Adaugare materie in catalog,2022-05-22T14:40:27.685992900
Adaugare materie in catalog,2022-05-22T14:40:27.685992900
Adaugare materie in catalog,2022-05-22T14:40:27.686992900
Initializare catalog,2022-05-22T14:40:27.687988200
Adaugare nota student,2022-05-22T14:40:27.688986300
Adaugare nota student,2022-05-22T14:40:27.689030500
Adaugare nota student,2022-05-22T14:40:27.689984600
Adaugare nota student,2022-05-22T14:40:27.690978600
Afisare medii descrescator,2022-05-22T14:40:27.703944600
Afisare studenti dupa nume alfabetic,2022-05-22T14:40:27.706979800
Creare catalog,2022-05-22T14:50:40.165582400
Creare catalog,2022-05-22T14:50:40.173720500
Creare student,2022-05-22T14:50:40.186207400
Creare student,2022-05-22T14:50:40.189229200
Creare student,2022-05-22T14:50:40.190229700
Creare student,2022-05-22T14:50:40.191308100
Creare materie,2022-05-22T14:50:40.192308900
Creare materie,2022-05-22T14:50:40.192308900
Creare materie,2022-05-22T14:50:40.193307
Creare materie,2022-05-22T14:50:40.194305300
Creare profesor,2022-05-22T14:50:40.194305300
Creare profesor,2022-05-22T14:50:40.196298500
Creare profesor,2022-05-22T14:50:40.197296400
Creare profesor,2022-05-22T14:50:40.198547100
Adaugare student in catalog,2022-05-22T14:50:40.199358800
Adaugare student in catalog,2022-05-22T14:50:40.199874100
Adaugare student in catalog,2022-05-22T14:50:40.200868400
Adaugare student in catalog,2022-05-22T14:50:40.201865300
Adaugare materie in catalog,2022-05-22T14:50:40.201865300
Adaugare materie in catalog,2022-05-22T14:50:40.202862600
Adaugare materie in catalog,2022-05-22T14:50:40.203392100
Adaugare materie in catalog,2022-05-22T14:50:40.204370700
Initializare catalog,2022-05-22T14:50:40.204370700
Adaugare nota student,2022-05-22T14:50:40.205369
Adaugare nota student,2022-05-22T14:50:40.206365800
Adaugare nota student,2022-05-22T14:50:40.206904200
Adaugare nota student,2022-05-22T14:50:40.207875100
Afisare medii descrescator,2022-05-22T14:50:40.221486800
Afisare studenti dupa nume alfabetic,2022-05-22T14:50:40.223467800
Creare catalog,2022-05-22T16:10:09.697590
Creare catalog,2022-05-22T16:10:09.705231600
Creare student,2022-05-22T16:10:09.714383500
Creare student,2022-05-22T16:10:09.717375600
Creare student,2022-05-22T16:10:09.717375600
Creare student,2022-05-22T16:10:09.718373200
Creare materie,2022-05-22T16:10:09.718373200
Creare materie,2022-05-22T16:10:09.719370500
Creare materie,2022-05-22T16:10:09.720367300
Creare materie,2022-05-22T16:10:09.720367300
Creare profesor,2022-05-22T16:10:09.721365100
Creare profesor,2022-05-22T16:10:09.723360100
Creare profesor,2022-05-22T16:10:09.724356900
Creare profesor,2022-05-22T16:10:09.725353500
Adaugare student in catalog,2022-05-22T16:10:09.725353500
Adaugare student in catalog,2022-05-22T16:10:09.726351200
Adaugare student in catalog,2022-05-22T16:10:09.727348800
